input;measured;model;input
2.600000;56.325806;77.973997;2.600000
2.600000;50.738895;77.973997;2.600000
2.600000;49.581247;77.973997;2.600000
2.600000;51.644881;77.973997;2.600000
2.600000;52.450201;77.973997;2.600000
2.600000;53.758847;77.973997;2.600000
2.600000;54.211839;77.973997;2.600000
2.600000;56.376138;77.973997;2.600000
2.600000;58.842432;77.973997;2.600000
2.600000;60.000080;77.973997;2.600000
2.600000;51.191888;77.973997;2.600000
2.600000;53.255522;77.973997;2.600000
2.600000;55.520485;77.973997;2.600000
2.600000;55.017160;77.973997;2.600000
2.600000;56.829131;77.973997;2.600000
2.600000;57.634451;77.973997;2.600000
2.600000;60.201410;77.973997;2.600000
2.600000;59.798750;77.973997;2.600000
2.600000;50.587898;77.973997;2.600000
2.600000;52.148206;77.973997;2.600000
2.600000;54.664832;77.973997;2.600000
2.600000;55.973478;77.973997;2.600000
2.600000;59.748417;77.973997;2.600000
2.600000;50.235570;77.973997;2.600000
2.600000;51.544216;77.973997;2.600000
2.600000;52.047541;77.973997;2.600000
2.600000;53.557517;77.973997;2.600000
2.600000;55.772148;77.973997;2.600000
2.600000;56.074143;77.973997;2.600000
2.600000;58.792099;77.973997;2.600000
2.600000;53.255522;77.973997;2.600000
2.600000;51.896543;77.973997;2.600000
2.600000;52.852861;77.973997;2.600000
2.600000;56.879463;77.973997;2.600000
2.600000;59.094094;77.973997;2.600000
2.600000;50.235570;77.973997;2.600000
2.600000;50.436900;77.973997;2.600000
2.600000;51.997208;77.973997;2.600000
2.600000;53.507184;77.973997;2.600000
2.600000;55.721815;77.973997;2.600000
2.600000;56.376138;77.973997;2.600000
2.600000;59.245092;77.973997;2.600000
2.600000;50.285903;77.973997;2.600000
2.600000;51.846211;77.973997;2.600000
2.600000;54.413170;77.973997;2.600000
2.600000;57.382789;77.973997;2.600000
2.600000;51.695213;77.973997;2.600000
2.600000;60.402740;77.973997;2.600000
2.600000;50.940225;77.973997;2.600000
2.600000;52.097873;77.973997;2.600000
2.600000;54.765497;77.973997;2.600000
2.600000;55.017160;77.973997;2.600000
2.600000;58.238441;77.973997;2.600000
2.600000;56.074143;77.973997;2.600000
2.600000;51.393218;77.973997;2.600000
2.600000;52.500534;77.973997;2.600000
2.600000;56.426471;77.973997;2.600000
2.600000;58.792099;77.973997;2.600000
2.600000;60.704735;77.973997;2.600000
2.600000;49.933575;77.973997;2.600000
2.600000;52.097873;77.973997;2.600000
2.600000;54.312505;77.973997;2.600000
2.600000;55.570818;77.973997;2.600000
2.600000;57.886114;77.973997;2.600000
2.600000;56.325806;77.973997;2.600000
2.600000;52.097873;77.973997;2.600000
2.600000;53.859512;77.973997;2.600000
2.600000;58.188109;77.973997;2.600000
2.600000;49.581247;77.973997;2.600000
2.600000;52.953526;77.973997;2.600000
2.600000;53.154856;77.973997;2.600000
2.600000;56.174808;77.973997;2.600000
2.600000;57.986779;77.973997;2.600000
2.600000;49.329585;77.973997;2.600000
2.600000;49.832910;77.973997;2.600000
2.600000;53.456852;77.973997;2.600000
2.600000;56.124475;77.973997;2.600000
2.600000;59.597420;77.973997;2.600000
2.600000;50.638230;77.973997;2.600000
2.600000;54.765497;77.973997;2.600000
2.600000;57.785449;77.973997;2.600000
2.600000;59.849082;77.973997;2.600000
2.600000;49.430250;77.973997;2.600000
2.600000;51.493883;77.973997;2.600000
2.600000;54.614500;77.973997;2.600000
2.600000;55.520485;77.973997;2.600000
2.600000;58.691434;77.973997;2.600000
2.600000;50.185237;77.973997;2.600000
2.600000;53.305854;77.973997;2.600000
2.600000;54.916495;77.973997;2.600000
2.600000;59.748417;77.973997;2.600000
2.600000;49.933575;77.973997;2.600000
2.600000;52.752196;77.973997;2.600000
2.600000;52.752196;77.973997;2.600000
2.600000;55.520485;77.973997;2.600000
2.600000;57.282123;77.973997;2.600000
2.600000;59.496755;77.973997;2.600000
2.600000;49.379917;77.973997;2.600000
2.600000;52.047541;77.973997;2.600000
2.600000;54.664832;77.973997;2.600000
2.600000;56.678133;77.973997;2.600000
2.600000;54.362837;77.973997;2.600000
2.600000;50.436900;77.973997;2.600000
2.600000;53.255522;77.973997;2.600000
2.600000;53.255522;77.973997;2.600000
2.600000;55.268822;77.973997;2.600000
2.600000;56.376138;77.973997;2.600000
2.600000;59.245092;77.973997;2.600000
2.600000;59.094094;77.973997;2.600000
2.600000;50.688563;77.973997;2.600000
2.600000;52.248871;77.973997;2.600000
2.600000;55.067492;77.973997;2.600000
2.600000;56.426471;77.973997;2.600000
2.600000;60.050412;77.973997;2.600000
2.600000;50.034240;77.973997;2.600000
2.600000;51.242221;77.973997;2.600000
2.600000;51.393218;77.973997;2.600000
2.600000;52.903194;77.973997;2.600000
2.600000;54.513835;77.973997;2.600000
2.600000;54.866162;77.973997;2.600000
2.600000;56.527136;77.973997;2.600000
2.600000;58.037111;77.973997;2.600000
2.600000;49.480582;77.973997;2.600000
2.600000;50.235570;77.973997;2.600000
2.600000;53.255522;77.973997;2.600000
2.600000;54.664832;77.973997;2.600000
2.600000;56.829131;77.973997;2.600000
2.600000;56.174808;77.973997;2.600000
2.600000;58.037111;77.973997;2.600000
2.600000;59.094094;77.973997;2.600000
2.600000;60.906065;77.973997;2.600000
2.600000;49.077922;77.973997;2.600000
2.600000;51.393218;77.973997;2.600000
2.600000;53.054191;77.973997;2.600000
2.600000;54.866162;77.973997;2.600000
2.600000;57.131126;77.973997;2.600000
2.600000;59.849082;77.973997;2.600000
2.600000;50.839560;77.973997;2.600000
2.600000;50.889893;77.973997;2.600000
2.600000;52.299204;77.973997;2.600000
2.600000;53.557517;77.973997;2.600000
2.600000;55.973478;77.973997;2.600000
2.600000;55.570818;77.973997;2.600000
2.600000;58.691434;77.973997;2.600000
2.600000;53.658182;77.973997;2.600000
2.600000;51.191888;77.973997;2.600000
2.600000;52.248871;77.973997;2.600000
2.600000;55.923145;77.973997;2.600000
2.600000;57.936446;77.973997;2.600000
2.600000;59.295424;77.973997;2.600000
2.600000;60.151077;77.973997;2.600000
2.600000;50.034240;77.973997;2.600000
2.600000;51.997208;77.973997;2.600000
2.600000;53.054191;77.973997;2.600000
2.600000;55.017160;77.973997;2.600000
2.600000;57.080793;77.973997;2.600000
2.600000;48.826259;77.973997;2.600000
2.600000;54.916495;77.973997;2.600000
2.600000;57.936446;77.973997;2.600000
2.600000;57.735116;77.973997;2.600000
2.600000;56.980128;77.973997;2.600000
2.600000;50.134905;77.973997;2.600000
2.600000;52.349536;77.973997;2.600000
2.600000;52.550866;77.973997;2.600000
2.600000;55.419820;77.973997;2.600000
2.600000;57.533786;77.973997;2.600000
2.600000;60.000080;77.973997;2.600000
2.600000;50.084572;77.973997;2.600000
2.600000;53.054191;77.973997;2.600000
2.600000;55.470153;77.973997;2.600000
2.600000;55.973478;77.973997;2.600000
2.600000;57.634451;77.973997;2.600000
2.600000;59.194759;77.973997;2.600000
2.600000;53.859512;77.973997;2.600000
2.600000;55.923145;77.973997;2.600000
2.600000;59.547087;77.973997;2.600000
2.600000;49.027589;77.973997;2.600000
2.600000;53.003859;77.973997;2.600000
2.600000;55.218490;77.973997;2.600000
2.600000;57.785449;77.973997;2.600000
2.600000;58.037111;77.973997;2.600000
2.600000;49.732245;77.973997;2.600000
2.600000;51.493883;77.973997;2.600000
2.600000;53.557517;77.973997;2.600000
2.600000;54.966827;77.973997;2.600000
2.600000;58.288774;77.973997;2.600000
2.600000;49.681912;77.973997;2.600000
2.600000;51.594548;77.973997;2.600000
2.600000;55.117825;77.973997;2.600000
2.600000;57.936446;77.973997;2.600000
2.600000;50.134905;77.973997;2.600000
2.600000;50.537565;77.973997;2.600000
2.600000;53.054191;77.973997;2.600000
2.600000;54.916495;77.973997;2.600000
2.600000;58.490104;77.973997;2.600000
2.600000;59.245092;77.973997;2.600000
2.600000;51.040890;77.973997;2.600000
2.600000;53.456852;77.973997;2.600000
2.600000;57.181458;77.973997;2.600000
2.600000;59.295424;77.973997;2.600000
2.600000;52.097873;77.973997;2.600000
2.600000;54.513835;77.973997;2.600000
2.600000;56.527136;77.973997;2.600000
2.600000;57.886114;77.973997;2.600000
2.600000;60.453073;77.973997;2.600000
2.600000;50.990558;77.973997;2.600000
2.600000;52.248871;77.973997;2.600000
2.600000;54.815830;77.973997;2.600000
2.600000;57.181458;77.973997;2.600000
2.600000;49.631580;77.973997;2.600000
2.600000;51.091223;77.973997;2.600000
2.600000;55.067492;77.973997;2.600000
2.600000;57.382789;77.973997;2.600000
2.600000;58.842432;77.973997;2.600000
2.600000;49.128254;77.973997;2.600000
2.600000;51.594548;77.973997;2.600000
2.600000;53.255522;77.973997;2.600000
2.600000;55.872813;77.973997;2.600000
2.600000;56.829131;77.973997;2.600000
2.600000;51.946876;77.973997;2.600000
2.600000;51.644881;77.973997;2.600000
2.600000;54.413170;77.973997;2.600000
2.600000;57.231791;77.973997;2.600000
2.600000;49.379917;77.973997;2.600000
2.600000;52.198538;77.973997;2.600000
2.600000;53.305854;77.973997;2.600000
2.600000;55.419820;77.973997;2.600000
2.600000;57.634451;77.973997;2.600000
2.600000;49.732245;77.973997;2.600000
2.600000;50.537565;77.973997;2.600000
2.600000;53.809179;77.973997;2.600000
2.600000;56.174808;77.973997;2.600000
2.600000;60.251742;77.973997;2.600000
2.600000;49.883242;77.973997;2.600000
2.600000;54.161507;77.973997;2.600000
2.600000;56.678133;77.973997;2.600000
2.600000;59.547087;77.973997;2.600000
2.600000;56.325806;77.973997;2.600000
2.600000;51.544216;77.973997;2.600000
2.600000;53.607849;77.973997;2.600000
2.600000;55.721815;77.973997;2.600000
2.600000;57.634451;77.973997;2.600000
2.600000;49.379917;77.973997;2.600000
2.600000;52.097873;77.973997;2.600000
2.600000;54.161507;77.973997;2.600000
2.600000;57.835781;77.973997;2.600000
2.600000;49.983907;77.973997;2.600000
2.600000;52.852861;77.973997;2.600000
2.600000;53.658182;77.973997;2.600000
2.600000;56.275473;77.973997;2.600000
2.600000;58.238441;77.973997;2.600000
2.600000;49.983907;77.973997;2.600000
2.600000;50.789228;77.973997;2.600000
2.600000;54.664832;77.973997;2.600000
2.600000;57.684784;77.973997;2.600000
2.600000;50.487233;77.973997;2.600000
2.600000;52.148206;77.973997;2.600000
2.600000;57.131126;77.973997;2.600000
2.600000;48.574597;77.973997;2.600000
2.600000;51.141555;77.973997;2.600000
2.600000;52.802529;77.973997;2.600000
2.600000;56.023810;77.973997;2.600000
2.600000;52.802529;77.973997;2.600000
2.600000;50.084572;77.973997;2.600000
2.600000;53.054191;77.973997;2.600000
2.600000;56.678133;77.973997;2.600000
2.600000;49.128254;77.973997;2.600000
2.600000;51.342886;77.973997;2.600000
2.600000;56.325806;77.973997;2.600000
2.600000;58.389439;77.973997;2.600000
2.600000;52.500534;77.973997;2.600000
2.600000;53.607849;77.973997;2.600000
3.000000;57.382789;77.973997;3.000000
3.000000;48.524264;79.311046;3.000000
3.000000;58.590769;80.499070;3.000000
3.000000;59.899415;81.554680;3.000000
3.000000;58.238441;82.492634;3.000000
3.000000;53.557517;83.326045;3.000000
3.000000;59.144427;84.066566;3.000000
3.000000;61.610721;84.724550;3.000000
3.000000;59.899415;85.309197;3.000000
3.000000;57.634451;85.828680;3.000000
3.000000;64.026682;86.290263;3.000000
3.000000;58.641102;86.700398;3.000000
3.000000;61.610721;87.064821;3.000000
3.000000;65.184330;87.388626;3.000000
3.000000;56.124475;87.676341;3.000000
3.000000;56.376138;87.931987;3.000000
3.000000;57.282123;88.159140;3.000000
